time_ms,pointer,middle,ring,ecg
30539,0,2065,2847,2411
30559,0,1959,2887,0
30579,307,1949,3414,445
30599,1842,2253,2835,4075
30619,3956,2879,2799,4095
30639,4095,3737,2841,909
30659,4095,4095,2908,0
30679,4095,4095,3559,0
30699,4095,4095,2856,2899
30719,4095,4095,2853,4095
30739,4095,3886,2852,1118
30759,4095,3177,2905,0
31108,3360,1587,2855,0
31129,3366,1110,3368,659
31149,3254,621,2797,4095
31169,3311,317,2807,4095
31189,3369,267,2869,2391
31209,3294,397,2936,1426
31229,3053,647,3351,2104
31249,2621,960,2795,4095
31269,2129,1240,2825,4095
31289,1519,1492,2867,1742
31309,889,1677,2961,0
31329,125,1780,3385,373
31349,0,1835,2809,4095
31369,0,1878,2807,4095
31389,0,1910,2858,1847
31409,0,1933,2938,0
31429,0,1943,3431,536
31449,0,1925,2811,4095
31469,1020,1877,2807,4095
31489,2031,1849,2857,2182
31509,3091,1902,2924,0
31529,4095,2157,3461,197
31549,4095,2629,2837,3436
31569,4095,3145,2812,4095
31589,4095,3641,2853,1001
31609,4095,3967,2925,0
31629,4095,3935,3540,0
31649,4095,3547,2862,3039
31669,4095,3036,2837,4095
31689,4095,2511,2840,1561
31709,4095,1977,2877,0
31729,4095,1483,3381,303
31749,4095,1049,2815,4095
31769,4095,749,2827,4095
31789,1971,682,2836,2217
31809,77,925,2877,0
31829,0,1405,3375,547
31849,0,2009,2815,4095
31869,523,2521,2823,4095
31889,1672,2887,2840,1663
31909,2749,3343,2921,0
31929,3544,4095,3525,0
31949,3943,4095,2870,3357
31969,3828,4095,2857,4095
31989,3391,4095,2846,1399
32009,2871,4095,2910,0
32029,2398,4095,3539,63
32049,2010,4095,2887,3543
32069,1726,4095,2867,4095
32089,1581,1339,2859,2101
32279,1627,1757,3347,875
32300,1701,1645,2835,4095
32320,1643,1453,2776,4095
32340,1575,1307,2855,1069
32360,1495,1258,2920,0
32380,1407,1255,3237,1739
32400,1356,1295,2828,4095
32420,1509,1353,2764,4095
32440,2125,1567,2867,936
32460,3119,2011,2913,56
